date,close
2015-01-01,100.9717
2015-01-02,99.5919
2015-01-05,98.9448
2015-01-06,99.3411
2015-01-07,98.3612
2015-01-08,98.3198
2015-01-09,98.5255
2015-01-12,97.7362
2015-01-13,96.4861
2015-01-14,96.7021
2015-01-15,97.6916
2015-01-16,97.0889
2015-01-19,96.7941
2015-01-20,98.4160
2015-01-21,97.8955
2015-01-22,97.4215
2015-01-23,99.7929
2015-01-26,98.2949
2015-01-27,99.1073
2015-01-28,97.1513
2015-01-29,96.6004
2015-01-30,98.0820
2015-02-02,99.3094
2015-02-03,98.4443
2015-02-04,98.0272
2015-02-05,98.1353
2015-02-06,96.9301
2015-02-09,97.4944
2015-02-10,99.6954
2015-02-11,98.3742
2015-02-12,96.4544
2015-02-13,96.7614
2015-02-16,96.6751
2015-02-17,98.4485
2015-02-18,98.3201
2015-02-19,98.2998
2015-02-20,98.1417
2015-02-23,97.1989
2015-02-24,97.8823
2015-02-25,96.6156
2015-02-26,97.7716
2015-02-27,97.8091
2015-03-02,98.3311
2015-03-03,97.8170
2015-03-04,96.9463
2015-03-05,98.7206
2015-03-06,99.2128
2015-03-09,100.4401
2015-03-10,100.6581
2015-03-11,103.3171
2015-03-12,103.7175
2015-03-13,102.6805
2015-03-16,103.5004
2015-03-17,103.9717
2015-03-18,101.5895
2015-03-19,101.5022
2015-03-20,102.5276
2015-03-23,103.3798
2015-03-24,103.0599
2015-03-25,101.8411
2015-03-26,102.3720
2015-03-27,101.2297
2015-03-30,102.6010
2015-03-31,102.3176
2015-04-01,101.4020
2015-04-02,100.8568
2015-04-03,100.0692
2015-04-06,99.5381
2015-04-07,98.8350
2015-04-08,98.4901
2015-04-09,98.7550
2015-04-10,99.3741
2015-04-13,98.3006
2015-04-14,97.3947
2015-04-15,97.0060
2015-04-16,97.0969
2015-04-17,97.2209
2015-04-20,95.2629
2015-04-21,96.9148
2015-04-22,96.0811
2015-04-23,97.8557
2015-04-24,96.5618
2015-04-27,95.6598
2015-04-28,95.4480
2015-04-29,95.2641
2015-04-30,94.5576
2015-05-01,95.2809
2015-05-04,93.5925
2015-05-05,94.6080
2015-05-06,93.8625
2015-05-07,95.0654
2015-05-08,94.7054
2015-05-11,93.4089
2015-05-12,93.8564
2015-05-13,95.9777
2015-05-14,95.9562
2015-05-15,96.0919
2015-05-18,95.7370
2015-05-19,94.9265
2015-05-20,94.2418
2015-05-21,93.0254
2015-05-22,91.7426
2015-05-25,91.8352
2015-05-26,93.3505
2015-05-27,93.8669
2015-05-28,94.3397
2015-05-29,94.6026
2015-06-01,93.8135
2015-06-02,94.0155
2015-06-03,93.6473
2015-06-04,94.5534
2015-06-05,95.7450
2015-06-08,96.9741
2015-06-09,97.3584
2015-06-10,98.4037
2015-06-11,97.7816
2015-06-12,97.7148
2015-06-15,97.5381
2015-06-16,96.6866
2015-06-17,95.7253
2015-06-18,94.9069
2015-06-19,94.5010
2015-06-22,92.7122
2015-06-23,94.6352
2015-06-24,94.8563
2015-06-25,94.9298
2015-06-26,95.5473
2015-06-29,95.4278
2015-06-30,95.9237
2015-07-01,96.4157
2015-07-02,97.1552
2015-07-03,95.0152
2015-07-06,96.0340
2015-07-07,96.2071
2015-07-08,96.8357
2015-07-09,97.3120
2015-07-10,97.5972
2015-07-13,99.0112
2015-07-14,98.6729
2015-07-15,99.2053
2015-07-16,98.9539
2015-07-17,98.9772
2015-07-20,101.3836
2015-07-21,103.2045
2015-07-22,103.5397
2015-07-23,104.4976
2015-07-24,104.2988
2015-07-27,102.3523
2015-07-28,102.9266
2015-07-29,102.6501
2015-07-30,101.4309
2015-07-31,99.1235
2015-08-03,100.5439
2015-08-04,101.1126
2015-08-05,101.6653
2015-08-06,100.9274
2015-08-07,100.9518
2015-08-10,102.3427
2015-08-11,101.7802
2015-08-12,102.0345
2015-08-13,101.0337
2015-08-14,101.2480
2015-08-17,100.1835
2015-08-18,99.7111
2015-08-19,99.3881
2015-08-20,100.2834
2015-08-21,100.7124
2015-08-24,100.0903
2015-08-25,99.9733
2015-08-26,99.9445
2015-08-27,99.9267
2015-08-28,99.0538
2015-08-31,99.8549
2015-09-01,100.1145
2015-09-02,100.2981
2015-09-03,102.8048
2015-09-04,102.3281
2015-09-07,103.0340
2015-09-08,101.4832
2015-09-09,103.4162
2015-09-10,102.4860
2015-09-11,101.4532
2015-09-14,101.2681
2015-09-15,100.3183
2015-09-16,99.0985
2015-09-17,99.8645
2015-09-18,100.5471
2015-09-21,100.5836
2015-09-22,100.2373
2015-09-23,100.9071
2015-09-24,100.2976
2015-09-25,99.5841
2015-09-28,100.5289
2015-09-29,99.6403
2015-09-30,98.8021
2015-10-01,99.3452
2015-10-02,99.0668
2015-10-05,98.1122
2015-10-06,97.9825
2015-10-07,97.7536
2015-10-08,97.0698
2015-10-09,97.3521
2015-10-12,98.0347
2015-10-13,99.0683
2015-10-14,97.8302
2015-10-15,97.9599
2015-10-16,98.0594
2015-10-19,96.0551
2015-10-20,95.2536
2015-10-21,95.3102
2015-10-22,93.6418
2015-10-23,94.0218
2015-10-26,95.2665
2015-10-27,94.0628
2015-10-28,95.4702
2015-10-29,98.9086
2015-10-30,98.6615
2015-11-02,98.3854
2015-11-03,97.9720
2015-11-04,95.1525
2015-11-05,94.0118
2015-11-06,94.8594
2015-11-09,94.6222
2015-11-10,95.2506
2015-11-11,95.2658
2015-11-12,95.2303
2015-11-13,95.7740
2015-11-16,94.7491
2015-11-17,95.1671
2015-11-18,95.4717
2015-11-19,94.3516
2015-11-20,92.8325
2015-11-23,92.3785
2015-11-24,94.9211
2015-11-25,96.4546
2015-11-26,97.5974
2015-11-27,97.3064
2015-11-30,97.5779
2015-12-01,97.4414
2015-12-02,98.5280
2015-12-03,99.0725
2015-12-04,97.2021
2015-12-07,98.0198
2015-12-08,98.9332
2015-12-09,98.4296
2015-12-10,97.7213
2015-12-11,98.2977
2015-12-14,97.7548
2015-12-15,98.0638
2015-12-16,98.1262
2015-12-17,97.6286
2015-12-18,96.5252
2015-12-21,98.7058
2015-12-22,97.9666
2015-12-23,98.2382
2015-12-24,98.1132
2015-12-25,98.1344
2015-12-28,96.6382
2015-12-29,95.8126
2015-12-30,94.5885
2015-12-31,95.7243
2016-01-01,94.9675
2016-01-04,94.1751
2016-01-05,95.0439
2016-01-06,95.4034
2016-01-07,96.6568
2016-01-08,97.2380
2016-01-11,97.2982
2016-01-12,96.4677
2016-01-13,97.9714
2016-01-14,97.8257
2016-01-15,96.9835
2016-01-18,96.8081
2016-01-19,96.6443
2016-01-20,98.0838
2016-01-21,100.4946
2016-01-22,100.2772
2016-01-25,101.2814
2016-01-26,100.5066
2016-01-27,100.2855
2016-01-28,99.5801
2016-01-29,99.7113
2016-02-01,100.3400
2016-02-02,100.5586
2016-02-03,100.2072
2016-02-04,100.1819
2016-02-05,99.4782
2016-02-08,100.0155
2016-02-09,99.6520
2016-02-10,99.9147
2016-02-11,100.8958
2016-02-12,100.3051
2016-02-15,101.8173
2016-02-16,99.5049
2016-02-17,98.9040
2016-02-18,99.8732
2016-02-19,99.5752
2016-02-22,98.6072
2016-02-23,98.1221
2016-02-24,99.6659
2016-02-25,101.4592
2016-02-26,100.0863
2016-02-29,99.4371
2016-03-01,98.7771
2016-03-02,100.1986
2016-03-03,100.0010
2016-03-04,100.4162
2016-03-07,100.6161
2016-03-08,100.6460
2016-03-09,100.3186
2016-03-10,101.3512
2016-03-11,101.4316
2016-03-14,100.3633
2016-03-15,100.2629
2016-03-16,98.9669
2016-03-17,99.0903
2016-03-18,98.6735
2016-03-21,97.7686
2016-03-22,95.8211
2016-03-23,97.9569
2016-03-24,97.8699
